Rank,Lemma,WeightedScore,RawCount
617,φιλότιμος,0.822350,49
618,πλάσσω,0.821695,65
619,σωφροσύνη,0.821032,101
620,πλεονεκτέω,0.810333,60
621,διαμαρτυρέω,0.804485,37
622,πατάσσω,0.802257,29
623,φύλαξ,0.801198,172
624,συμμορία,0.799185,35
625,Πύρρος,0.797948,35
626,κριτός,0.797138,47
627,χαίρω,0.795624,305
628,ζημιόομαι,0.794576,13
629,Νίκιον,0.794290,35
630,μηχανάομαι,0.792835,110
631,πόσος,0.790040,75
632,Φωκεύς,0.789848,163
633,φιλοτιμέομαι,0.789126,49
634,γνώριμος,0.785939,43
635,κατέχω,0.783247,226
636,συγγενός,0.783040,45
637,ψηφίζομαι,0.782689,25
638,συκοφαντία,0.782615,46
639,τέτταρ,0.781130,31
640,Τιμοκράτης,0.776971,67
641,μανία,0.776571,49
642,Μακεδονία,0.774887,110
643,Διονύσιος,0.774164,70
644,τέτταρος,0.773524,53
645,διόζω,0.763969,14
646,πολιορκέω,0.761305,191
647,Δικαιόγεναι,0.757650,34
648,βουλέω,0.754900,40
649,μένμαν,0.754657,7
650,δακρύω,0.751892,44
651,κυριώτερος,0.744634,23
652,κατάλογος,0.744333,22
653,πολίτεια,0.742393,64
654,λυμαίνομαι,0.741124,60
655,συμπλέω,0.738078,41
656,καταθέομαι,0.738042,14
657,Πάρμενος,0.737790,18
658,ναυτικός,0.735388,260
659,πέρυς,0.735361,14
660,προπηλακίζομαι,0.735257,22
661,πορεύω,0.728606,380
662,καταβαίνω,0.726158,251
663,Κόμων,0.724782,24
664,τέμνω,0.723658,120
665,διόπερ,0.723058,53
666,νομιέω,0.722768,13
667,συνίδωκα,0.722054,23
668,Σίμων,0.721764,101
669,Φαίνιππος,0.720540,18
670,διαμαρτάνω,0.718060,49
671,καρπόω,0.715594,37
672,ουτιός,0.714345,16
673,δέος,0.713977,81
674,τιμήμα,0.713441,27
675,νέμω,0.713163,212
676,διακόσιοι,0.711342,152
677,Σπουδία,0.709731,13
678,τρισχίλιοι,0.707517,49
679,τρειραρχέω,0.706590,21
680,Θεόπομπος,0.702757,50
681,τρίακος,0.701980,14
682,πολίτος,0.701170,13
683,λυσιτελέω,0.699205,58
684,δημοτεύω,0.693794,5
685,διαθηκός,0.691548,19
686,Λάμπις,0.688705,28
687,Φυλή,0.688469,33
688,διέξειμι,0.688287,114
689,διδάσκαλος,0.685890,97
690,σύνδικος,0.682992,14
691,καθαιρέω,0.682913,105
692,φιλοσοφία,0.682828,107
693,πένθος,0.681575,76
694,Θεόφημος,0.681297,57
695,σύλλογος,0.677833,33
696,Πόντος,0.676280,58
697,διπλάσιος,0.675920,44
698,Θράσυλλος,0.675300,21
699,κτείνω,0.674230,297
700,Στέφανος,0.671827,109
701,τίκτω,0.669958,218
702,πεντακισχίλιοι,0.669435,54
703,περιποιέω,0.667978,44
704,πενία,0.667373,42
705,Πολυεύκτης,0.667238,14
706,παράπαν,0.666192,55
707,πλόος,0.666105,106
708,μεταμέλω,0.665675,39
709,ναύκληρος,0.662245,39
710,Πάμφιλος,0.659963,17
