Rank,Lemma,Count,RelativeFrequency
842,κοινωνέω,83,0.000116
843,μαίνομαι,83,0.000116
844,θαυμαστός,83,0.000116
845,προάγω,83,0.000116
846,σκεύος,83,0.000116
847,Πασίων,83,0.000116
848,Σάμιος,83,0.000116
849,Πηνελόπεια,83,0.000116
850,φαεινός,83,0.000116
851,ὥστε,83,0.000116
852,τόλμα,82,0.000114
853,ναυμαχέω,82,0.000114
854,πολιτικός,82,0.000114
855,κοσμέω,82,0.000114
856,σύμβουλος,82,0.000114
857,προίστημι,82,0.000114
858,Κλεομένης,82,0.000114
859,μηνύω,81,0.000113
860,δέος,81,0.000113
861,λοιδορέω,81,0.000113
862,παραλείπω,81,0.000113
863,Χαρίδημος,81,0.000113
864,πλεονεξία,81,0.000113
865,φθέγγομαι,81,0.000113
866,τόκος,81,0.000113
867,κἀγώ,81,0.000113
868,ἀναβαίνω,81,0.000113
869,μᾶλλον,81,0.000113
870,γονεύς,80,0.000112
871,κυρία,80,0.000112
872,βαρύς,80,0.000112
873,φόρος,80,0.000112
874,σκότος,80,0.000112
875,στεφανέω,80,0.000112
876,πέπνυμαι,80,0.000112
877,ἕκαστος,80,0.000112
878,ἐκβάλλω,80,0.000112
879,βαδίζω,79,0.000110
880,βάσανος,79,0.000110
881,διαφορά,79,0.000110
882,μέμφομαι,79,0.000110
883,στήλη,79,0.000110
884,κράω,79,0.000110
885,στεφανόω,79,0.000110
886,παραπλέω,79,0.000110
887,δέκατος,79,0.000110
888,τάφρος,79,0.000110
889,φάος,79,0.000110
890,κρύπτω,79,0.000110
891,ὅπου,79,0.000110
